OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96500023,Sample-Routine,Water,Surface Water,1965-06-29,14:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,16.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96800440,Sample-Routine,Water,Surface Water,1968-03-08,10:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,1.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96700515,Sample-Routine,Water,Surface Water,1967-06-09,13:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,18.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96600159,Sample-Routine,Water,Surface Water,1966-05-17,13:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,15.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96500024,Sample-Routine,Water,Surface Water,1965-08-03,13:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,20.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96800439,Sample-Routine,Water,Surface Water,1967-12-15,10:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,1.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96600160,Sample-Routine,Water,Surface Water,1966-06-20,14:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,19.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96500026,Sample-Routine,Water,Surface Water,1965-09-23,09:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,21.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96600161,Sample-Routine,Water,Surface Water,1966-07-26,10:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,24.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96700513,Sample-Routine,Water,Surface Water,1966-11-17,11:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,6.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96600156,Sample-Routine,Water,Surface Water,1965-11-17,13:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,6.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96800438,Sample-Routine,Water,Surface Water,1967-10-18,10:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,15.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96600157,Sample-Routine,Water,Surface Water,1965-12-14,14:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,1.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.97000500,Sample-Routine,Water,Surface Water,1970-05-14,11:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,19.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.97200350,Sample-Routine,Water,Surface Water,1972-01-07,12:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,0.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.97300439,Sample-Routine,Water,Surface Water,1973-02-02,15:45:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,0.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.97100435,Sample-Routine,Water,Surface Water,1971-03-30,11:30:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,0.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.97100436,Sample-Routine,Water,Surface Water,1971-05-11,13:30:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,4.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.97100433,Sample-Routine,Water,Surface Water,1971-01-07,10:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,0.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.97200351,Sample-Routine,Water,Surface Water,1972-03-16,15:45:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,1.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.97000499,Sample-Routine,Water,Surface Water,1970-04-13,11:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,4.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.97200352,Sample-Routine,Water,Surface Water,1972-04-04,10:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,3.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.97200353,Sample-Routine,Water,Surface Water,1972-08-16,11:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,22.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
